Playername,loadout_power,prio_power,projected_loadout_power,avg_loadout_power,avg_projected_loadout_power,total_b,total_a,total_s,total_s_plus,total_l,total_all,class_id,role_id,loadout_power_parse,prio_power_parse,projected_loadout_parse,spec_id
Sororn,4.13,0.00,4.13,1.59,1.59,0,1,2,2,0,5,8,2,100,0,100,26
Oribrinlua,1.74,0.00,1.74,4.08,4.08,0,1,3,0,0,4,5,4,0,0,0,17
Vothaszan,2.73,0.00,2.73,1.29,1.29,0,2,4,0,0,6,8,3,88,0,88,27
Torsha,1.16,0.00,1.16,1.59,1.59,0,0,2,0,0,2,8,2,42,0,42,26
Oridan,0.41,0.00,0.41,1.34,1.34,0,0,1,0,0,1,4,1,42,0,42,13
Torthasash,3.28,0.00,3.28,1.29,1.29,0,4,4,0,0,8,5,3,100,0,100,16
Mirquil,0.00,0.00,0.00,1.29,1.29,0,0,0,0,0,0,8,3,0,0,0,27
Velwenvo,2.14,0.00,2.14,1.29,1.29,0,0,4,0,0,4,6,3,75,0,75,20
Wynael,3.50,0.00,3.50,1.34,1.34,0,0,2,1,0,3,9,1,92,0,92,30
Dramundmir,0.00,0.00,0.00,1.34,1.34,0,0,0,0,0,0,4,1,0,0,0,13
Kazor,2.06,0.00,2.06,1.34,1.34,0,0,2,1,0,3,9,1,67,0,67,30
Zanwen,0.20,0.00,0.20,1.34,1.34,0,1,0,0,0,1,9,1,33,0,33,30
Zanzor,3.75,0.00,3.75,1.59,1.59,0,0,5,0,0,5,7,2,92,0,92,23
Sordil,0.00,0.00,0.00,1.59,1.59,0,0,0,0,0,0,2,2,0,0,0,7
Talianbal,0.00,0.00,0.00,1.59,1.59,0,0,0,0,0,0,10,2,0,0,0,32
Torael,0.40,0.00,0.40,1.59,1.59,0,1,0,0,0,1,8,2,17,0,17,26
Velexori,1.56,0.00,1.56,1.29,1.29,0,2,2,0,0,4,8,3,50,0,50,27
Origarther,0.98,0.00,0.98,1.34,1.34,0,4,1,0,0,5,9,1,58,0,58,30
Kamael,2.45,0.00,2.45,1.34,1.34,0,1,3,0,0,4,8,1,75,0,75,25
Ithmaeltal,2.33,0.00,2.33,1.59,1.59,0,1,3,0,0,4,10,2,75,0,75,32
Gorael,6.20,0.00,6.20,4.08,4.08,0,1,4,1,0,6,2,4,100,0,100,8
Sorbrin,1.10,0.00,1.10,1.59,1.59,0,2,1,0,0,3,5,2,33,0,33,18
Raulfgor,2.77,0.00,2.77,1.59,1.59,0,3,3,0,0,6,3,2,83,0,83,12
Kelzor,0.00,0.00,0.00,1.29,1.29,0,0,0,0,0,0,8,3,0,0,0,27
Fenzorkel,1.91,0.00,1.91,1.29,1.29,0,0,3,0,0,3,6,3,62,0,62,20
Velvexkel,0.00,0.00,0.00,1.29,1.29,0,0,0,0,0,0,2,3,0,0,0,9
Nymtam,4.30,0.00,4.30,4.08,4.08,0,3,5,0,0,8,5,4,50,0,50,17
Vertam,0.41,0.00,0.41,1.34,1.34,0,0,1,0,0,1,4,1,42,0,42,13
Kelaelith,0.00,0.00,0.00,1.29,1.29,0,0,0,0,0,0,6,3,0,0,0,20
Eltam,1.16,0.00,1.16,1.59,1.59,0,0,2,0,0,2,8,2,42,0,42,26
Oridil,0.00,0.00,0.00,1.34,1.34,0,0,0,0,0,0,9,1,0,0,0,30
Ashdan,3.00,0.00,3.00,1.34,1.34,0,0,4,0,0,4,2,1,83,0,83,6
Votam,4.35,0.00,4.35,1.34,1.34,0,2,1,1,0,4,6,1,100,0,100,21
Talaelzan,1.18,0.00,1.18,1.59,1.59,0,1,2,0,0,3,10,2,58,0,58,32
Keldur,0.00,0.00,0.00,1.34,1.34,0,0,0,0,0,0,9,1,0,0,0,28
Dravexwyn,1.76,0.00,1.76,1.59,1.59,0,3,0,1,0,4,3,2,67,0,67,10
Morbrin,0.95,0.00,0.95,1.59,1.59,0,1,1,0,0,2,3,2,25,0,25,10
Morthasbal,0.00,0.00,0.00,1.34,1.34,0,0,0,0,0,0,2,1,0,0,0,6
#DETAILED_LOOT_START
raider_name,role_id,class_id,spec_id,item_id,item_tier,tier_weight,slot_weight,total_weight,offspec_flag,date_received,order_received,instance_name,boss_name
Ashdan,1,2,6,30916,S,0.75,1.00,0.75,0,2026-08-27,1,Hyjal Summit,Kaz'rogal
Ashdan,1,2,6,31090,S,0.75,1.00,0.75,0,2026-09-01,3,Black Temple,Armor Tokens
Ashdan,1,2,6,31093,S,0.75,1.00,0.75,0,2026-09-02,2,Hyjal Summit,Armor Tokens
Ashdan,1,2,6,31102,S,0.75,1.00,0.75,0,2026-09-08,3,Black Temple,Armor Tokens
Oridan,1,4,13,30870,S,0.75,0.55,0.41,0,2026-09-02,1,Hyjal Summit,Rage Winterchill
Vertam,1,4,13,32331,S,0.75,0.55,0.41,0,2026-08-31,1,Black Temple,The Illidari Council
Votam,1,6,21,34009,A,0.20,2.00,0.40,0,2026-08-27,1,Black Temple,Trash
Votam,1,6,21,32367,A,0.20,1.00,0.20,0,2026-08-31,1,Black Temple,Mother Shahraz
Votam,1,6,21,32374,S+,1.00,3.00,3.00,0,2026-09-01,1,Black Temple,Illidan Stormrage
Votam,1,6,21,31089,S,0.75,1.00,0.75,0,2026-09-08,4,Black Temple,Armor Tokens
Kamael,1,8,25,31095,S,0.75,1.00,0.75,0,2026-08-27,1,Hyjal Summit,Armor Tokens
Kamael,1,8,25,31100,A,0.20,1.00,0.20,0,2026-08-31,1,Black Temple,Armor Tokens
Kamael,1,8,25,31103,S,0.75,1.00,0.75,0,2026-09-01,3,Black Temple,Armor Tokens
Kamael,1,8,25,31091,S,0.75,1.00,0.75,0,2026-09-08,1,Black Temple,Armor Tokens
Wynael,1,9,30,31092,S,0.75,1.00,0.75,0,2026-08-27,1,Hyjal Summit,Armor Tokens
Wynael,1,9,30,30872,S,0.75,1.00,0.75,0,2026-08-27,1,Hyjal Summit,Rage Winterchill
Wynael,1,9,30,30910,S+,1.00,2.00,2.00,0,2026-09-09,1,Hyjal Summit,Archimonde
Kazor,1,9,30,31092,S,0.75,1.00,0.75,0,2026-08-27,1,Hyjal Summit,Armor Tokens
Kazor,1,9,30,32349,S,0.75,0.55,0.41,0,2026-09-01,1,Black Temple,Reliquary of Souls
Kazor,1,9,30,32483,S+,1.00,0.90,0.90,0,2026-09-08,1,Black Temple,Illidan Stormrage
Zanwen,1,9,30,31098,A,0.20,1.00,0.20,0,2026-09-08,1,Black Temple,Armor Tokens
Origarther,1,9,30,32361,A,0.20,1.00,0.20,0,2026-09-01,1,Black Temple,Shade of Akama
Origarther,1,9,30,32343,A,0.20,0.30,0.06,0,2026-09-01,1,Black Temple,Gurtogg Bloodboil
Origarther,1,9,30,30913,A,0.20,1.00,0.20,0,2026-09-02,1,Hyjal Summit,Archimonde
Origarther,1,9,30,32590,S,0.75,0.55,0.41,0,2026-09-02,1,Black Temple,Trash
Origarther,1,9,30,32247,A,0.20,0.55,0.11,0,2026-09-08,1,Black Temple,High Warlord Naj'entus
Dravexwyn,2,3,10,31100,A,0.20,1.00,0.20,0,2026-08-31,1,Black Temple,Armor Tokens
Dravexwyn,2,3,10,32505,S+,1.00,0.90,0.90,0,2026-09-01,1,Black Temple,The Illidari Council
Dravexwyn,2,3,10,30865,A,0.20,0.30,0.06,0,2026-09-02,1,Hyjal Summit,Rage Winterchill
Dravexwyn,2,3,10,32336,A,0.20,3.00,0.60,0,2026-09-08,2,Black Temple,Illidan Stormrage
Morbrin,2,3,10,31103,S,0.75,1.00,0.75,0,2026-08-31,1,Black Temple,Armor Tokens
Morbrin,2,3,10,31100,A,0.20,1.00,0.20,0,2026-09-01,3,Black Temple,Armor Tokens
Raulfgor,2,3,12,32248,A,0.20,0.30,0.06,0,2026-08-28,1,Black Temple,High Warlord Naj'entus
Raulfgor,2,3,12,31100,A,0.20,1.00,0.20,0,2026-09-01,3,Black Temple,Armor Tokens
Raulfgor,2,3,12,32266,S,0.75,0.55,0.41,0,2026-09-01,1,Black Temple,Shade of Akama
Raulfgor,2,3,12,32336,A,0.20,3.00,0.60,0,2026-09-01,1,Black Temple,Illidan Stormrage
Raulfgor,2,3,12,31095,S,0.75,1.00,0.75,0,2026-09-01,2,Hyjal Summit,Armor Tokens
Raulfgor,2,3,12,31103,S,0.75,1.00,0.75,0,2026-09-08,4,Black Temple,Armor Tokens
Sorbrin,2,5,18,30866,A,0.20,0.75,0.15,0,2026-08-27,1,Hyjal Summit,Rage Winterchill
Sorbrin,2,5,18,30905,S,0.75,1.00,0.75,0,2026-09-02,1,Hyjal Summit,Archimonde
Sorbrin,2,5,18,32376,A,0.20,1.00,0.20,0,2026-09-08,1,Black Temple,The Illidari Council
Zanzor,2,7,23,31093,S,0.75,1.00,0.75,0,2026-08-27,1,Hyjal Summit,Armor Tokens
Zanzor,2,7,23,31096,S,0.75,1.00,0.75,0,2026-08-27,1,Hyjal Summit,Armor Tokens
Zanzor,2,7,23,31090,S,0.75,1.00,0.75,0,2026-08-31,1,Black Temple,Armor Tokens
Zanzor,2,7,23,31102,S,0.75,1.00,0.75,0,2026-09-01,2,Black Temple,Armor Tokens
Zanzor,2,7,23,31102,S,0.75,1.00,0.75,0,2026-09-01,2,Black Temple,Armor Tokens
Sororn,2,8,26,30919,A,0.20,0.75,0.15,0,2026-08-27,1,Hyjal Summit,Kaz'rogal
Sororn,2,8,26,32347,S,0.75,0.75,0.56,0,2026-08-28,1,Black Temple,Reliquary of Souls
Sororn,2,8,26,32262,S+,1.00,1.50,1.50,0,2026-08-28,1,Black Temple,Supremus
Sororn,2,8,26,32262,S+,1.00,1.50,1.50,0,2026-09-01,2,Black Temple,Supremus
Sororn,2,8,26,32591,S,0.75,0.55,0.41,0,2026-09-02,1,Black Temple,Trash
Torsha,2,8,26,30900,S,0.75,1.00,0.75,0,2026-09-02,1,Hyjal Summit,Azgalor
Torsha,2,8,26,32260,S,0.75,0.55,0.41,0,2026-09-08,1,Black Temple,Supremus
Torael,2,8,26,32946,A,0.20,2.00,0.40,0,2026-08-27,1,Black Temple,Trash
Eltam,2,8,26,32323,S,0.75,0.55,0.41,0,2026-09-08,2,Black Temple,Teron Gorefiend
Eltam,2,8,26,30900,S,0.75,1.00,0.75,0,2026-09-09,2,Hyjal Summit,Azgalor
Ithmaeltal,2,10,32,30902,A,0.20,3.00,0.60,0,2026-08-27,1,Hyjal Summit,Archimonde
Ithmaeltal,2,10,32,32591,S,0.75,0.55,0.41,0,2026-09-02,1,Black Temple,Trash
Ithmaeltal,2,10,32,31095,S,0.75,1.00,0.75,0,2026-09-02,3,Hyjal Summit,Armor Tokens
Ithmaeltal,2,10,32,32345,S,0.75,0.75,0.56,0,2026-09-08,1,Black Temple,Reliquary of Souls
Talaelzan,2,10,32,32278,S,0.75,0.75,0.56,0,2026-08-28,1,Black Temple,Shade of Akama
Talaelzan,2,10,32,32323,S,0.75,0.55,0.41,0,2026-09-01,1,Black Temple,Teron Gorefiend
Talaelzan,2,10,32,30903,A,0.20,1.00,0.20,0,2026-09-09,1,Hyjal Summit,Archimonde
Torthasash,3,5,16,32255,S,0.75,1.00,0.75,0,2026-08-28,1,Black Temple,Supremus
Torthasash,3,5,16,32512,A,0.20,0.75,0.15,0,2026-09-01,1,Black Temple,Teron Gorefiend
Torthasash,3,5,16,34012,S,0.75,0.55,0.41,0,2026-09-01,1,Black Temple,Trash
Torthasash,3,5,16,31089,S,0.75,1.00,0.75,0,2026-09-01,2,Black Temple,Armor Tokens
Torthasash,3,5,16,30918,A,0.20,2.00,0.40,0,2026-09-02,1,Hyjal Summit,Kaz'rogal
Torthasash,3,5,16,32354,A,0.20,1.00,0.20,0,2026-09-08,1,Black Temple,Reliquary of Souls
Torthasash,3,5,16,32370,S,0.75,0.55,0.41,0,2026-09-08,1,Black Temple,Mother Shahraz
Torthasash,3,5,16,30893,A,0.20,1.00,0.20,0,2026-09-09,1,Hyjal Summit,Kaz'rogal
Velwenvo,3,6,20,32363,S,0.75,0.30,0.23,0,2026-09-01,1,Black Temple,Reliquary of Souls
Velwenvo,3,6,20,31097,S,0.75,1.00,0.75,0,2026-09-02,1,Hyjal Summit,Armor Tokens
Velwenvo,3,6,20,32528,S,0.75,0.55,0.41,0,2026-09-08,2,Black Temple,Trash
Velwenvo,3,6,20,31089,S,0.75,1.00,0.75,0,2026-09-08,4,Black Temple,Armor Tokens
